,wind_north,wind_south,solar_north,solar_south,demand_north,demand_south
2024-01-01 00:00:00,0.4964244926068226,0.34800190357502775,0.0,0.0,626.0542127463958,600.0
2024-01-01 01:00:00,0.40117772447946,0.12133480574107966,0.0,0.0,679.171615438874,600.0
2024-01-01 02:00:00,0.5190706503702416,0.13210535113028776,0.0,0.0,688.4867317232207,616.435608004029
2024-01-01 03:00:00,0.6503718481163415,0.3087516496147052,0.0,0.0,645.4603352502779,620.0466871748191
2024-01-01 04:00:00,0.3867943634466373,0.2444269030698751,0.0,0.0,633.207620678821,660.1328586511513
2024-01-01 05:00:00,0.3867968261127606,0.20534348941241537,0.0,0.0,685.2047123392153,600.0
2024-01-01 06:00:00,0.6587992919812464,0.35242345620723886,0.006017495768858557,0.0,942.1720640233586,647.1331069159614
2024-01-01 07:00:00,0.537032579028074,0.26960660601668285,0.21403959191885502,0.24030442759824558,925.0441839888551,1610.236368060836
2024-01-01 08:00:00,0.3514962117648949,0.25610640649673616,0.30417768001254725,0.47541652368232856,1234.244251670777,1680.6392864696804
2024-01-01 09:00:00,0.5033013761930324,0.32884353188329674,0.5835676324494796,0.618732311028792,1231.7038125251836,1688.827322401609
2024-01-01 10:00:00,0.35240471573326837,0.2133497683134353,0.5231068417162503,0.8437456430108121,1191.9298331050027,1208.6972492364994
2024-01-01 11:00:00,0.3520579066195992,0.40771256635504716,0.7935455684305368,1.0,1205.9695164791797,1188.8545613607464
2024-01-01 12:00:00,0.4582117103900428,0.17205590548449096,0.7776830533242008,0.9920956796011388,1213.843019710223,1204.2442413069762
2024-01-01 13:00:00,0.13492533295646802,0.3165535744420006,0.8501289907135797,0.9883205133861,1200.6895207173084,1155.5320954571293
2024-01-01 14:00:00,0.16317969477818278,0.39424395167377624,0.7981343514600896,1.0,1166.6191058182972,1231.1458135246712
2024-01-01 15:00:00,0.3375742402689918,0.11313111888058178,0.7380768148674755,0.9430723109213142,1177.481771911242,1208.9924556043238
2024-01-01 16:00:00,0.26999270160497413,0.21652715022254684,0.6531779097757501,0.6558899347221206,1167.4016931489546,1213.0404028853472
2024-01-01 17:00:00,0.4690544695444288,0.36508140709634757,0.5392445559413761,0.6233530240541783,1211.830183272576,1189.9554073840532
2024-01-01 18:00:00,0.2857137583269561,0.36658512258089426,0.3306654499646846,0.41415376578060253,1171.57554438903,1788.192733509042
